                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.6858,                 5.9013,                 3.4559,                      0,                      0,                      0,                      0,                 5.3056,                  5.295,                 2.6617,               0.070244,              0.0033062,              0.0033062
                      1,                  4.406,                   4.34,                 2.6945,                0.67798,                0.00775,                0.00177,                0.00036,                 4.3163,                 5.7458,                 2.3959,               0.039981,              0.0063766,              0.0063766
                      2,                 3.9727,                 3.9298,                 2.2268,                0.04814,                0.05111,                0.01547,                0.00338,                 3.7983,                 6.0953,                 2.2433,               0.009454,               0.009183,               0.009183
                      3,                 3.6036,                 3.6073,                 2.0143,                0.38191,                0.02555,                0.01517,                0.00524,                 3.7404,                 26.928,                 2.0357,               0.008812,               0.008812,               0.008812
                      4,                  3.383,                 3.2729,                 1.8557,                0.17102,                0.10731,                0.06519,                0.02078,                 3.2463,                 3.2262,                 1.6961,               0.008812,               0.008812,               0.008812
                      5,                 3.2403,                 3.0786,                 1.7807,                0.73169,                0.08541,                0.09371,                0.03509,                 3.1474,                 2.9167,                 1.6839,               0.008416,               0.008416,               0.008416
                      6,                 3.1292,                 2.9813,                 1.7467,                0.45674,                0.07049,                0.02068,                 0.0051,                 3.4942,                 3.8535,                 1.7996,                0.00802,                0.00802,                0.00802
                      7,                 3.0061,                 2.8151,                 1.7372,                0.19602,                0.21791,                0.13515,                0.05374,                 2.9569,                 2.7495,                 1.5811,               0.007624,               0.007624,               0.007624
                      8,                 2.8906,                 2.6446,                 1.6269,                 0.2835,                 0.1295,                0.14223,                0.04851,                 2.8794,                 2.5587,                 1.5331,               0.007228,               0.007228,               0.007228
                      9,                 2.8359,                 2.5585,                 1.6198,                0.34049,                0.21381,                0.18881,                0.08021,                 2.8308,                 2.4898,                 1.5399,               0.006832,               0.006832,               0.006832
                     10,                 2.7027,                 2.3913,                  1.571,                0.35084,                 0.2245,                0.18543,                 0.0658,                  2.741,                 2.4874,                 1.4892,               0.006436,               0.006436,               0.006436
                     11,                 2.6451,                 2.2955,                 1.5466,                0.51295,                0.22048,                0.21308,                0.07904,                 2.8501,                 2.4714,                  1.513,                0.00604,                0.00604,                0.00604
                     12,                 2.5302,                  2.159,                 1.5087,                0.36029,                0.26548,                0.21341,                0.09337,                 2.6626,                   2.43,                 1.4307,               0.005644,               0.005644,               0.005644
                     13,                 2.4865,                 2.0774,                 1.4517,                0.54108,                0.25163,                0.26172,                0.10596,                 2.6675,                 2.1182,                 1.4359,               0.005248,               0.005248,               0.005248
                     14,                 2.4551,                 1.9891,                 1.4619,                0.48849,                0.27011,                0.25707,                0.10478,                 2.7006,                 2.1307,                 1.4507,               0.004852,               0.004852,               0.004852
                     15,                 2.4091,                 1.9744,                   1.42,                0.49966,                0.33819,                0.29716,                0.13454,                 2.4607,                 1.9576,                 1.3613,               0.004456,               0.004456,               0.004456
                     16,                 2.3342,                 1.8532,                 1.4042,                0.42915,                0.31354,                0.29434,                0.14391,                 2.5239,                 1.8867,                 1.3557,                0.00406,                0.00406,                0.00406
                     17,                 2.3083,                 1.8544,                 1.3743,                  0.577,                0.30003,                0.34351,                0.13611,                 2.5512,                 2.0029,                 1.3947,               0.003664,               0.003664,               0.003664
                     18,                 2.2266,                 1.7172,                 1.3534,                0.65712,                0.34122,                 0.3368,                0.14877,                  2.519,                 1.8373,                 1.3786,               0.003268,               0.003268,               0.003268
                     19,                 2.1594,                 1.6292,                 1.3063,                0.75027,                0.30009,                0.35991,                0.16276,                 2.3464,                 1.7494,                  1.336,               0.002872,               0.002872,               0.002872
                     20,                 2.1221,                 1.6006,                 1.3138,                0.63141,                0.38249,                0.40192,                0.16993,                 2.2901,                 1.7051,                 1.2773,               0.002476,               0.002476,               0.002476
                     21,                 2.1129,                 1.5478,                 1.3051,                0.73969,                0.37274,                0.40106,                 0.1881,                 2.3067,                 1.7017,                 1.2862,                0.00208,                0.00208,                0.00208
                     22,                 2.0406,                 1.5331,                 1.2824,                0.56661,                0.36655,                0.36851,                0.16983,                 2.3915,                 1.6487,                 1.2988,               0.001684,               0.001684,               0.001684
                     23,                 2.0323,                 1.4921,                  1.278,                0.60092,                0.40675,                0.38722,                0.18634,                 2.2856,                 1.6266,                  1.266,               0.001288,               0.001288,               0.001288
                     24,                 1.9717,                 1.4623,                 1.2486,                0.67572,                0.34803,                0.42111,                0.19713,                 2.2872,                 1.6177,                 1.2617,               0.000892,               0.000892,               0.000892
